en,fr
"John Cabot, who discovered Newfoundland in 1497, and Jacques Cartier, who explored further inland by way of the Saint-Lawrence River in 1534, were undoubtedly the first explorers that used astronomical instruments to locate the landmass now known as Canada.","Ainsi, John Cabot, qui découvre Terre-Neuve en 1497, et Jacques Cartier, qui explore l'intérieur du continent par le fleuve Saint-Laurent en 1535, sont sans doute les premiers explorateurs à utiliser des instruments astronomiques pour trouver la position de ce qui est aujourd'hui le Canada."
"It was also during the Champlain era that French missionaries, the Jesuits, first set foot on Canadian soil in 1604.","C'est également à l'époque de Champlain que les Jésuites, des missionnaires français, entrent en scène au Canada."
"By 1618, they had begun to record astronomical observations (most notably about comets and eclipses) and included them in the reports sent back to France (titled Relations in French).","Arrivés au Canada en 1604, ils commencent dès 1618 à rapporter des observations astronomiques (notamment sur des comètes et des éclipses) dans les comptes rendus (appelés « relations ») qu'ils font parvenir en Europe."
"In 1634, astronomy officially became a part of the tasks assigned to Jean Bourdon, the Engineer-in-Chief and Land Surveyor for the New France colony in Quebec.","En 1634, l'astronomie devient officiellement partie intégrante des tâches de l'Ingénieur de Québec et Arpenteur général de la colonie, Jean Bourdon."
"During the time of the early settlers, the function of astronomy was primarily practical.","À cette époque, l'astronomie a une fonction essentiellement pratique."
"It was the science of colonization par excellence, used to draw up accurate geographic maps and to tell time precisely.",Elle sert à déterminer l'heure avec exactitude et à dresser précisément les cartes géographiques.
« Return to the observatories Next © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park,« Retour aux observatoires Suivant © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
Astronomers « Return to the observatories The first observatories The first astronomical observatory in North America was Canadian It is difficult to confirm with certainty the very first astronomical observatory in Canada.,Astronomes « Retour aux observatoires Les premiers observatoires Le premier observatoire astronomique d'Amérique du Nord est canadien Il est difficile de savoir quel fut le premier observatoire astronomique au Canada.
"The Jesuit priest Joseph-Pierre de Bonnécamps, who taught at the College of Quebec from 1750 to 1759, had obtained a number of astronomical instruments with the intention of constructing an observatory on the college roof.","Le père Jésuite Joseph-Pierre de Bonnécamps, qui enseigna au Collège de Québec de 1750 à 1759, possédait plusieurs instruments d'astronomie avec l'intention de construire un observatoire sur le toit du collège pour les abriter."
"Bonnécamps left Canada in 1759 not long before the fall of Quebec at the hands of the British, and he never returned.","Bonnécamps quitta le Canada en 1759, peu de temps avant la chute de Québec, et ne revint jamais au Canada."
The British closed the College of Quebec and the teaching tasks were transferred to the Seminary of Quebec across the street.,Le Collège de Québec fut fermé par les Britanniques et l'enseignement transféré au Séminaire de Québec (situé juste en face).
"There is mention of an ""observation chamber"" in the Seminary archives of 1770, which may be a reference to the existence of an astronomical observatory.","Or, il existe une mention dans les archives de 1770 du séminaire de l'existence d'une « chambre d'observasion », ce qui correspond peut-être un observatoire astronomique."
Evidence for another early observatory can be found in a wood engraving from a book by the Marquis de Chabert de Cogolin that dates from the time he was at the Fortress of Louisbourg (1750-1751).,"Il existe également une gravure sur bois d'un livre du marquis de Chabert de Cogolin datant de l'époque où il était présent à la forteresse de Louisbourg, en 1750-1751, montrant des observateurs installés à l'extérieur avec un instrument astronomique."
Chabert owned several such instruments and it is likely that a temporary observatory existed for a short time in the fortress.,Chabert en possédait plusieurs et il est probable qu'un observatoire temporaire ait existé pendant une courte période dans la forteresse.
"The first North American observatory that existed with historical certainty was at Castle Frederick, the estate founded by Joseph DesBarres at Falmouth, Nova Scotia, in 1765.","Le premier observatoire en Amérique du Nord dont on connaît de façon sûre l'existence est celui de Castle Frederick, qui fut établi en 1765 par Joseph DesBarres, à Falmouth, en Nouvelle-Écosse."
"Later records describe an observatory on Quebec’s Île Jésus (now ""Laval"") that was established by Dr. Charles Smallwood de Saint-Martin.","Un autre observatoire est celui de l'Île Jésus établi par le Dr. Charles Smallwood de Saint-Martin (aujourd'hui Laval), au Québec."
Historical evidence suggests that it was already in existence by 1846.,Des indices tendent à démontrer qu'il existait déjà en 1846.
"There is also evidence that in 1849, Dr. James Toldervy of Fredericton, New Brunswick, created an observatory in his garden near the Saint John River.","Il existe également des évidences que le Dr. James Toldervy de Fredericton, au Nouveau-Brunswick, possédait dès 1849 un observatoire dans son jardin près de la rivière Saint-John."
"A year later, in 1850, the Quebec City Observatory was established on the Plains of Abraham.",L'Observatoire de Québec situé sur les Plaines d'Abraham vit quant à lui le jour en 1850.
"Built in such a way as to be visible from the port and the Saint Lawrence River, the structure included a large ball that signalled midday when it dropped.","Construit de façon à être vu depuis le port et le fleuve Saint-Laurent, on y installe une grosse boule qui, lorsqu'on la laisse tomber, indique midi."
Historical records report the establishment of seven other major observatories from 1850 to the end of the century.,"À partir de 1850, l'existence de sept autres observatoires importants est connue."
They are: 1.,Il s'agit des observatoires : 1.
"Kingston Observatory in London, Ontario: est.","De Kingston, à London, en Ontario, en 1856 2."
"1890; constructed by astronomers W.F. King, E.G. Deville and O.J. Klotz « Return to the observatories Next Previous © 2006 An original idea and a realization of the ASTROLab of Mont-Mégantic National Park",« Retour aux observatoires Suivant Précédent © 2006 Une idée originale et une réalisation de L'ASTROLab du Parc national du Mont-Mégantic
"Astronomers « Return to the observatories The Dominion Observatory The first government observatory and provider of official time in Canada The Dominion Observatory was founded in 1905 in Ottawa, Ontario.","Astronomes « Retour aux observatoires L'Observatoire Fédéral Le premier observatoire gouvernemental et fournisseur de l'heure officielle du Canada L'Observatoire Fédéral ouvre ses portes en 1905 à Ottawa, en Ontario."
"The impetus for Canada’s first government observatory came from the Geological Survey of Canada, which had a pressing need for a service that could supply precise temporal and spatial coordinates for its mapping and topographic surveys.",Sa création est due à la Commission Géologique du Canada qui avait alors un besoin pressant de disposer d'un service capable de fournir des coordonnées temporelles et spatiales précises pour ses relevés cartographiques et topographiques.
